PDB,fa_atr,fa_rep,fa_sol,fa_elec,hbond_bb_sc,hbond_sc,Interface_Energy,Total_BSA,Interface_HB,Total_packstats,Interface_unsat,Total_pose_exposed_SASA,interface_hydrophobic_sasa,interface_polar_sasa,6.6,7.6,8.6,16.6,6.7,7.7,8.7,16.7,6.8,7.8,8.8,16.8,6.9,7.9,8.9,16.9,6.15,7.15,8.15,16.15,6.16,7.16,8.16,16.16,6.17,7.17,8.17,16.17,6.35,7.35,8.35,16.35,6.53,7.53,8.53,16.53,SIDE_flex_ALPHA,SIDE_flex_BETA,SIDE_flex_OTHER,BACK_flex_ALPHA,BACK_flex_BETA,BACK_flex_OTHER,TotalElec,TotalHbond,Hphobe_contact,Pi_Pi,T-stack,Cation-pi,Salt_Bridge,diff_entropy,pienergy,fsp3,polarsurfacearea,vdwsa,Label
1xka_4PP_C_decoys_3,-28.8293,4.99432,9.66463,-4.53905,0,0,-22.3302,768.768,0,0.686377,9,0.424467,0.605698,0.394302,2294,646,740,52,208,63,67,4,700,215,224,19,0,0,0,0,0,0,0,0,175,51,58,6,91,27,28,2,0,0,0,0,0,0,0,0,2,14,40,0,20,17,-162973.953,2,22,0,0,0,0,-0.4,30.91,0.94,102.26,631.81,0
1xnn_HYQ_A_decoys_1,-33.2915,10.8072,0.464837,1.19619,0,0,-27.0682,767.233,0,0.550394,4,0.314092,0.868413,0.131587,3738,840,832,119,808,188,178,29,412,87,92,13,0,0,0,0,0,0,0,0,213,44,45,7,0,0,0,0,0,0,0,0,0,0,0,0,46,9,0,17,1,0,-24983.03722,0,23,0,0,0,0,3.5,45.36,0.17,61.54,443.49,0
1xnn_HYQ_A_decoys_2,-36.4838,18.8183,2.74398,0.0168696,0,0,-24.0235,725.14,0,0.595711,5,0.308802,0.870625,0.129375,3930,930,909,111,1159,273,265,32,232,60,54,8,0,0,0,0,0,0,0,0,0,0,0,0,200,51,49,3,0,0,0,0,0,0,0,0,78,0,10,11,0,0,35202.43632,0,28,0,0,0,0,0.5,43.6,0.06,69.63,423.91,0
1xnn_HYQ_A_decoys_3,-42.7521,13.7261,1.55271,1.07201,0,0,-33.6305,779.619,0,0.606985,6,0.290022,0.796118,0.203882,3914,900,885,110,1156,282,268,35,230,52,56,7,0,0,0,0,0,0,0,0,220,55,49,7,242,53,52,6,0,0,0,0,0,0,0,0,75,0,11,16,0,2,-34831.12098,0,35,0,0,0,0,-1.8,48.54,0.18,69.95,460.08,0
1xuc_PB3_A_decoys_1,-42.9544,10.0816,16.2448,-5.43108,-2.14411,0,-30.1677,833.611,2,0.728097,7,0.323648,0.603152,0.396848,3378,780,832,19,507,121,124,4,501,113,122,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,43,1,0,62,-68076.28313,2,34,1,0,1,0,-1.7,43.47,0.29,78.51,518.06,0
1xuc_PB3_A_decoys_2,-39.228,10.8272,16.8691,-7.64698,-1.25081,0,-26.4767,775.327,2,0.695858,10,0.297425,0.617029,0.382971,2756,626,682,17,699,163,172,5,309,72,76,1,110,26,27,1,0,0,0,0,163,38,39,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,60,2,0,63,-183813.4516,1,27,1,0,0,0,-3.3,44.91,0.12,86.08,439.93,0
1xuc_PB3_A_decoys_4,-42.9544,10.0816,16.2448,-5.43108,-2.14411,0,-30.1677,833.611,2,0.7289,7,0.323648,0.603152,0.396848,3378,780,832,19,507,121,124,4,501,113,122,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,43,1,0,62,-68076.28313,2,34,1,0,1,0,-1.7,43.47,0.29,78.51,518.06,0
1y5w_NEZ_A_decoys_1,-30.822,5.44779,13.4723,-14.1461,-2.01394,-1.48497,-31.7274,690.787,3,0.707948,8,0.276722,0.590991,0.409009,2543,685,767,66,536,138,166,14,407,100,121,9,173,48,50,4,0,0,0,0,0,0,0,0,0,0,0,0,142,36,45,4,0,0,0,0,0,28,49,0,4,27,-31212.37011,2,22,2,0,0,0,-0.4,39.95,0.07,76.38,369.64,0
1y5w_NEZ_A_decoys_2,-27.959,8.02949,13.5575,-14.2133,-1.67367,-3.98611,-28.7242,695.621,5,0.696954,5,0.308974,0.520404,0.479596,3132,830,972,72,0,0,0,0,921,236,277,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,42,0,8,18,-115584.1554,5,14,0,0,0,0,-2,41.74,0.33,90.15,450.41,0
1y5w_NEZ_A_decoys_3,-22.9377,7.13829,4.97869,-5.63208,0,0,-20.3242,728.121,0,0.728401,11,0.293159,0.562349,0.437651,2771,759,853,72,499,134,152,13,327,90,94,8,0,0,0,0,0,0,0,0,200,53,61,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,0,5,9,-24288.30462,0,12,0,0,0,0,2,40.19,0.18,76.38,426.92,0
1y5x_E89_A_decoys_1,-32.9495,7.57538,10.6514,-8.84438,-1.60756,-2.6903,-31.1093,726.574,3,0.674405,12,0.281411,0.67182,0.32818,2809,709,794,80,770,198,233,21,388,103,120,13,0,0,0,0,0,0,0,0,174,44,52,6,0,0,0,0,0,0,0,0,0,0,0,0,41,43,20,0,5,8,-166324.0683,3,22,1,0,0,0,-2.9,37.39,0.27,96.58,427.52,0
1y5x_E89_A_decoys_2,-26.2258,2.50824,7.08443,-2.03495,0,0,-20.5006,746.406,0,0.675917,8,0.257812,0.704973,0.295027,2448,652,704,67,370,96,103,13,654,185,193,15,0,0,0,0,0,0,0,0,0,0,0,0,191,48,63,5,0,0,0,0,0,0,0,0,50,17,10,1,3,10,188099.4927,0,29,1,0,0,0,0.3,43.6,0,98.66,370.36,0
1y5x_E89_A_decoys_3,-29.6186,4.50636,8.02664,-9.04966,0,-2.02377,-29.9889,768.697,3,0.690051,11,0.220122,0.691364,0.308636,3013,794,864,89,369,99,103,11,710,186,212,22,0,0,0,0,0,0,0,0,165,39,43,4,0,0,0,0,0,0,0,0,0,0,0,0,57,29,5,0,5,13,-46838.10282,2,24,1,0,0,0,-1.2,47.18,0.18,102.68,423.54,0
1y8y_CT7_A_decoys_1,-23.9695,5.38986,16.2598,-8.19141,0,-0.604239,-14.357,628.798,1,0.587004,3,0.312997,0.555969,0.444031,2147,539,535,0,570,137,142,0,627,159,157,0,263,69,67,0,0,0,0,0,190,48,43,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,17,0,2,14,-247158.4381,2,9,0,0,0,1,-3.2,42.08,0.67,76.5,396.28,0
1y8y_CT7_A_decoys_2,-21.9663,5.84685,5.50398,-2.22092,0,0,-16.9357,647.484,0,0.521935,6,0.367293,0.62251,0.37749,2946,752,775,0,743,192,192,0,297,79,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,3,0,10,5,-13091.94801,0,17,0,0,0,0,1.4,41.7,0.06,67.23,421.67,0
1y8y_CT7_A_decoys_3,-21.0902,6.44387,1.48034,-0.651318,0,0,-17.4639,701.577,0,0.530467,4,0.426606,0.555001,0.444999,2738,690,686,0,534,130,132,0,255,65,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,7,5,-29300.62131,1,20,0,0,2,0,-3.5,40.2,0.22,64.68,479.43,0
1y9r_1CA_A_decoys_1,-39.1964,13.1423,-6.36156,-1.84234,0,-0.999861,-41.3715,674.649,1,0.547623,6,0.297037,0.824396,0.175604,3662,819,826,110,461,99,99,14,233,51,54,6,0,0,0,0,0,0,0,0,440,90,95,10,0,0,0,0,0,0,0,0,0,0,0,0,54,0,12,7,0,0,-23419.15317,1,26,1,0,0,0,-1.4,37.72,0.12,34.03,393.34,0
1y9r_1CA_A_decoys_2,-28.7764,7.86057,1.16138,-1.0175,0,0,-23.9058,625.92,0,0.55009,2,0.288223,0.827023,0.172977,2746,598,635,84,450,98,106,14,235,47,53,6,0,0,0,0,0,0,0,0,228,54,57,8,0,0,0,0,231,51,52,7,0,0,0,0,36,0,5,10,0,0,50035.73786,0,16,1,0,0,0,-0.8,27.59,0.33,32.34,350.13,0
1y9r_1CA_A_decoys_3,-28.0944,5.05772,1.15087,-0.815036,0,0,-25.2492,628.164,0,0.5465,2,0.2782,0.847195,0.152805,2355,509,555,69,698,144,152,16,0,0,0,0,0,0,0,0,0,0,0,0,216,43,49,5,0,0,0,0,0,0,0,0,238,51,49,8,42,0,2,9,0,0,-33516.85745,0,8,0,0,0,0,-0.6,23.49,0.2,27.63,305.3,0
1yk7_NBL_A_decoys_1,-20.9795,3.01549,10.6142,-8.24496,-2.76999,0,-19.633,603.014,3,0.745851,1,0.463911,0.48072,0.51928,1840,557,615,51,467,145,159,14,145,41,45,4,0,0,0,0,0,0,0,0,241,72,77,7,0,0,0,0,0,0,0,0,0,0,0,0,5,3,19,0,16,39,364.4145716,3,16,0,0,0,0,-5.2,34.64,0.33,79.51,485.17,0
1yk7_NBL_A_decoys_2,-19.3585,3.25552,7.90888,-7.84247,-0.727927,-1.13235,-19.5985,598.956,2,0.738548,2,0.479295,0.540417,0.459583,1593,478,551,38,274,85,91,7,313,91,103,7,0,0,0,0,0,0,0,0,70,20,22,2,0,0,0,0,0,0,0,0,0,0,0,0,11,7,26,0,20,15,-111636.688,2,15,0,0,0,0,-13.9,38.76,0.19,77.37,453.47,0
1yk7_NBL_A_decoys_3,-24.5883,4.48696,6.91414,-5.3452,-0.373377,0,-21.834,639.666,1,0.740132,1,0.449449,0.531727,0.468273,2132,633,716,70,112,37,38,3,403,124,133,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,21,0,14,34,-32054.55965,1,24,1,0,0,0,-5.5,38.36,0.4,70.95,555.25,0
1yrs_L47_A_decoys_1,-35.9489,11.1189,10.1651,-0.306878,0,0,-21.5198,677.832,1,0.570271,3,0.31963,0.724168,0.275832,2875,731,790,11,525,127,151,2,201,48,63,1,0,0,0,0,0,0,0,0,355,95,102,0,0,0,0,0,0,0,0,0,0,0,0,0,36,6,11,20,0,15,-28768.06161,1,27,0,0,0,0,0.1,39.52,0.06,68.87,385.81,0
1yrs_L47_A_decoys_2,-22.1885,10.3046,9.77417,-0.0496254,0,0,-7.28,644.019,0,0.580092,2,0.326494,0.7429,0.2571,2465,641,685,7,271,71,77,0,360,89,97,1,0,0,0,0,0,0,0,0,173,46,45,1,177,46,50,0,0,0,0,0,0,0,0,0,26,0,4,7,0,1,-39356.70496,0,14,0,0,0,0,1,33.76,0.29,76.11,339.46,0
1yrs_L47_A_decoys_3,-26.0962,449.342,19.0323,-2.45959,0,-0.0905641,236.783,611.856,1,0.55816,3,0.37597,0.71164,0.28836,2866,777,831,4,714,183,201,2,0,0,0,0,151,46,44,0,0,0,0,0,129,39,38,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,25,7,0,21,-78634.82336,1,22,0,0,0,0,0.5,34.4,0.28,97.39,386.01,0
1zaf_789_A_decoys_1,-29.5818,15.9195,5.89488,-1.56738,0,0,-16.3644,775.38,0,0.488845,5,0.256317,0.862161,0.137839,4637,993,1038,147,0,0,0,0,662,142,140,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,4,0,22,0,0,36213.45107,0,24,0,0,0,0,4,12,0.95,57.53,569.73,0
1zaf_789_A_decoys_2,-33.0607,14.9402,6.00491,-2.5375,0,-1.11088,-22.3906,739.876,1,0.517706,3,0.285281,0.822783,0.177217,4787,1054,1087,149,0,0,0,0,673,138,147,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,6,5,0,-75310.54537,2,19,0,0,0,0,3.4,12,0.95,57.53,568.88,0
1zaf_789_A_decoys_3,-34.0203,13.394,6.90285,-2.39222,0,0,-22.5226,754.333,0,0.513135,6,0.28089,0.824752,0.175248,4781,1034,1085,148,0,0,0,0,687,143,152,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,4,1,7,0,0,-31142.58938,1,14,0,0,0,0,3.7,12,0.95,57.53,569.47,0
1zgj_P1S_A_decoys_1,-25.6552,4.69075,2.55453,-1.61508,0,0,-22.9768,705.487,0,0.64801,5,0.238055,0.852767,0.147233,3019,634,740,79,342,64,98,8,568,117,135,15,173,39,46,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,12,0,0,-39096.25556,0,23,0,0,0,0,0.9,41.73,0.12,85.34,340.78,0
1zgj_P1S_A_decoys_2,-20.9857,7.02767,0.797396,-2.34632,0,-1.00702,-20.6932,761.901,1,0.584408,2,0.230663,0.891867,0.108133,3095,658,769,81,516,105,141,15,362,69,88,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,5,6,0,0,-94122.55675,1,19,0,0,0,0,1.8,29.95,0.35,89,399.41,0
1zgj_P1S_A_decoys_3,-24.5993,5.51109,3.12304,-0.0352801,0,0,-18.573,694.447,0,0.608126,2,0.291499,0.843306,0.156694,3080,658,757,71,360,70,88,11,520,106,128,12,0,0,0,0,0,0,0,0,192,42,43,5,0,0,0,0,0,0,0,0,0,0,0,0,49,0,4,23,0,0,-28855.88277,0,23,0,0,0,0,0.9,41.86,0.06,85.34,353.3,0
1zly_DQB_A_decoys_1,-33.3654,8.9095,11.5845,-6.25464,-0.591434,0,-25.6334,834.72,1,0.699756,9,0.370124,0.656391,0.343609,2142,612,596,25,607,172,166,7,505,162,156,7,0,0,0,0,0,0,0,0,286,80,78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,0,9,36,6707.31318,1,15,0,0,0,0,-7.3,51.85,0.35,177.94,531.91,0
1zly_DQB_A_decoys_2,-34.7307,4.31709,23.2286,-8.39998,-3.22372,-0.906662,-22.1961,845.061,4,0.692121,10,0.27533,0.642492,0.357508,2325,684,659,22,577,164,169,5,768,227,221,6,0,0,0,0,0,0,0,0,183,54,51,4,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,0,3,23,122744.9985,4,9,0,0,0,0,-3.5,34.99,0.67,138.67,539.68,0
1zly_DQB_A_decoys_3,-15.9023,6.76366,9.42171,-0.692115,-0.120434,0,-4.50613,625.011,1,0.523572,3,0.457466,0.715442,0.284558,1358,410,355,19,825,238,226,12,200,59,49,3,0,0,0,0,0,0,0,0,218,66,61,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,15,0,0,19,46968.59317,2,3,0,0,0,1,-0.9,38.48,0.27,142.47,476.19,0
1zwp_NIM_A_decoys_1,-12.0374,2.14673,3.66679,-3.36109,0,0,-12.035,383.273,0,0.608916,0,0.616972,0.779239,0.220761,1088,285,331,12,304,72,88,0,110,30,32,5,0,0,0,0,0,0,0,0,47,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,2,-59153.70792,0,13,4,0,1,0,-4.6,38.23,0.07,62.11,393.23,0
1zwp_NIM_A_decoys_2,-19.5725,5.55375,15.2874,-15.5049,-1.76096,0,-18.1345,684.066,1,0.619864,5,0.263001,0.6152,0.3848,2121,499,575,43,152,39,46,2,834,200,232,22,111,27,31,6,0,0,0,0,132,35,34,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,29,0,0,23,-134336.7188,2,9,1,0,0,1,1.1,46.91,0.13,83.91,419.13,0
1zwp_NIM_A_decoys_3,-17.758,3.42785,5.85599,-3.29899,0,0,-14.9196,521.866,0,0.604152,2,0.512912,0.760099,0.239901,1552,403,458,31,94,26,29,2,416,107,127,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,0,0,14,118951.153,0,16,4,0,0,0,-10,42.63,0.18,76.07,430,0
1zyj_BI5_A_decoys_1,-27.2286,6.12221,2.98068,-2.02302,-1.69067,0,-25.7554,638.153,1,0.606633,4,0.323832,0.753967,0.246033,2156,597,661,35,319,89,97,4,314,91,95,3,0,0,0,0,0,0,0,0,186,50,54,2,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,0,8,27,-98134.46561,1,26,0,0,0,0,-1.7,35.38,0.2,62.12,396.66,0
1zyj_BI5_A_decoys_2,-20.3361,4.72032,-3.13031,-1.14136,0,0,-22.7653,605.407,0,0.633393,5,0.424467,0.728922,0.271078,2075,570,631,33,377,105,122,8,61,17,22,2,0,0,0,0,0,0,0,0,133,38,45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2,0,6,4,-54669.51871,0,11,0,0,0,0,-2.1,25.71,0.53,37.39,451.91,0
1zyj_BI5_A_decoys_3,-33.6335,9.55356,-3.05457,-2.61448,-1.91748,0,-37.8017,684.817,1,0.653222,6,0.301382,0.775471,0.224529,3331,839,905,34,347,90,100,4,361,94,105,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,7,0,17,4,-106739.4219,1,31,0,0,1,0,-1.5,35.8,0.11,62.12,416.26,0
25c8_GEP_L_decoys_1,-28.0507,5.02245,10.6259,0.78186,0,-1.30734,-16.839,769.59,1,0.648353,5,0.320184,0.743507,0.256493,2643,688,703,8,948,250,259,3,382,102,106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,12,0,0,4,76588.739,2,22,0,0,1,0,-6.8,16.84,0.86,60.41,503.95,0
25c8_GEP_L_decoys_2,-32.5086,8.64403,21.6872,-9.95421,-0.441143,0,-17.5687,699.293,1,0.67526,4,0.337402,0.786383,0.213617,2316,578,573,15,428,105,105,3,905,237,246,2,0,0,0,0,0,0,0,0,349,96,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,69,7,0,8,0,-127235.5016,2,30,0,0,1,0,-0.6,26.91,1,92.78,497.89,0
25c8_GEP_L_decoys_3,-31.4261,1284.55,27.3654,1.992,0,0,704.134,702.484,0,0.648627,7,0.353827,0.731749,0.268251,3105,814,846,7,712,175,181,6,175,46,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,12,0,15,6,79502.17037,0,40,0,0,0,0,-3.5,14.65,0.72,112.23,490.48,0
2a0c_CK9_X_decoys_1,-28.7911,6.7813,7.1941,-12.1786,-1.00054,-0.707256,-31.0759,851.96,2,0.600276,7,0.320807,0.601536,0.398464,2698,685,666,0,667,168,166,1,343,83,85,0,218,61,53,0,0,0,0,0,306,82,81,1,0,0,0,0,0,0,0,0,0,0,0,0,2,44,3,0,18,4,-230201.8492,2,17,0,0,0,0,-1.5,56.4,0.12,66.58,485.59,0
2a0c_CK9_X_decoys_2,-31.7861,7.51843,5.84039,-7.60291,-1.27247,-0.815191,-32.0492,850.789,2,0.615183,8,0.246944,0.690093,0.309907,3765,939,938,0,764,193,200,1,315,81,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,7,0,21,6,-93492.97905,3,24,0,0,0,0,1.3,39.49,0.25,96.58,537.14,0
2a0c_CK9_X_decoys_3,-28.5203,8.55564,6.15425,-4.19388,0,0,-23.0415,845.809,0,0.58772,9,0.296572,0.747903,0.252097,3809,938,965,0,724,182,194,0,364,90,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,8,0,4,9,-50807.3767,0,23,0,0,0,0,0.9,19.52,0.9,82.26,624.33,0
2a3i_C0R_A_decoys_1,-35.9351,16.2408,5.20291,-3.9392,-1.04404,-1.52896,-28.2793,710.779,2,0.574433,6,0.303464,0.799749,0.200251,3651,799,860,90,246,56,56,6,694,147,161,18,0,0,0,0,0,0,0,0,458,107,116,14,0,0,0,0,0,0,0,0,0,0,0,0,76,0,5,18,0,7,-125017.5299,2,22,0,0,0,0,-1.5,42.54,0,60.77,372.65,0
2a3i_C0R_A_decoys_2,-28.7372,8.81563,6.66391,-0.546743,0,0,-17.6556,638.054,0,0.598156,7,0.300042,0.769637,0.230363,2095,452,482,52,481,115,117,12,470,103,117,13,0,0,0,0,0,0,0,0,0,0,0,0,460,103,103,11,243,53,57,6,0,0,0,0,33,0,4,6,0,1,19889.8059,0,8,0,0,0,0,-0.6,25.22,0.78,58.2,373.76,0
2a3i_C0R_A_decoys_3,-29.5394,30.438,-1.36598,-0.641913,0,0,-14.6533,629.506,0,0.605742,4,0.278808,0.827812,0.172188,3264,722,769,84,473,106,110,12,469,99,104,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,56,59,6,0,0,0,0,37,0,0,5,0,0,-6871.255173,0,15,0,0,0,0,-1.1,16.82,0.86,58.2,447.64,0
2ajl_JNH_I_decoys_1,-14.2092,1.32715,14.6465,-13.0659,0,-1.46807,-13.2021,640.476,2,0.649,7,0.364165,0.417516,0.582484,2218,586,633,18,349,91,100,1,313,81,85,4,351,109,114,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,5,17,2,0,0,-215091.6122,2,3,0,0,0,0,-2.5,29.91,0.93,64.35,465.83,0
2ajl_JNH_I_decoys_2,-23.716,4.25849,10.8,-5.00736,-0.099022,-0.957746,-15.8273,674.43,2,0.64963,6,0.339603,0.478486,0.521514,2673,674,745,15,333,86,90,5,385,99,113,0,0,0,0,0,0,0,0,0,318,81,88,4,0,0,0,0,0,0,0,0,0,0,0,0,21,1,57,12,0,8,-54356.68185,1,18,1,0,0,0,-1.7,38.14,0.07,76.21,363.19,0
2ajl_JNH_I_decoys_3,-5.28768,0.261402,6.38152,-4.67672,0,-0.412365,-4.20179,298.513,1,0.654435,0,0.668073,0.545296,0.454704,955,286,310,3,253,72,72,1,266,70,85,0,249,75,78,2,0,0,0,0,133,34,42,0,43,15,17,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,-48667.76518,1,1,0,0,1,0,-7.8,46.37,0.4,72.19,365.37,0
2ajx_TGN_L_decoys_1,-26.8452,4.23478,8.89049,-5.98159,0,-0.665511,-23.8874,685.259,1,0.696747,5,0.374653,0.597414,0.402586,2680,628,635,0,290,66,70,0,567,128,128,0,0,0,0,0,0,0,0,0,145,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,41,0,5,15,-34284.25675,1,22,1,0,1,0,0.4,40.59,0.22,83.55,499.06,0
2ajx_TGN_L_decoys_2,-30.1833,6.89967,10.655,-11.0384,0,-0.907522,-29.1677,665.458,1,0.673157,6,0.361988,0.614053,0.385947,2079,487,506,0,474,108,116,0,473,109,117,0,159,38,38,0,0,0,0,0,344,79,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,51,0,8,11,-41257.92058,2,30,1,0,0,0,-2.2,45.77,0.23,79.37,445.2,0
2ajx_TGN_L_decoys_3,-31.925,8.02195,5.85595,-9.98634,0,-1.76305,-34.9897,698.428,2,0.681312,5,0.353204,0.620516,0.379484,2216,517,541,0,465,108,116,0,459,106,113,0,0,0,0,0,0,0,0,0,336,80,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,51,0,8,11,6860.426264,2,35,1,0,0,0,-3.1,41.75,0.29,79.37,470.43,0
2amb_17H_A_decoys_1,-30.6761,7.62877,7.75946,-0.960458,0,0,-19.7565,616.748,0,0.661556,2,0.310193,0.83475,0.16525,3092,712,692,91,219,55,51,8,233,52,55,7,941,224,219,28,0,0,0,0,0,0,0,0,241,52,51,7,0,0,0,0,0,0,0,0,60,0,8,14,0,5,79330.7163,1,18,0,0,0,0,-0.3,52.58,0.08,35.25,346.5,0
2amb_17H_A_decoys_2,-32.7232,8.74731,6.61156,-1.0468,0,0,-22.4019,640.814,0,0.625753,2,0.323329,0.858015,0.141985,3102,690,704,89,239,55,54,7,234,51,53,7,464,106,105,13,0,0,0,0,0,0,0,0,451,92,102,13,0,0,0,0,0,0,0,0,51,0,7,12,0,1,19541.82981,0,11,0,0,0,0,-2.1,44.69,0.08,32.26,348.69,0
2amb_17H_A_decoys_3,-30.2125,9.03322,2.47065,-1.64577,0,0,-24.4209,638.898,0,0.651989,3,0.287179,0.867488,0.132512,3325,757,742,95,236,50,57,5,235,61,56,7,699,162,163,18,0,0,0,0,0,0,0,0,231,60,57,8,0,0,0,0,0,0,0,0,60,0,12,4,0,0,-88361.40768,0,14,0,0,0,0,-2.8,48.55,0.14,35.25,370.86,0
2ati_IHU_A_decoys_1,-30.1116,8.11154,11.7341,-5.93532,-0.874322,0,-20.9877,708.677,1,0.582103,3,0.312317,0.787934,0.212066,2314,678,658,5,527,155,156,1,482,145,140,2,0,0,0,0,0,0,0,0,324,88,90,0,0,0,0,0,0,0,0,0,0,0,0,0,23,15,15,6,0,8,-16059.48339,1,22,0,0,0,0,-1.7,29.78,0.62,94.28,398.22,0
2ati_IHU_A_decoys_2,-29.1368,8.84889,11.6831,-14.1028,0,-1.26598,-28.7488,762.012,2,0.565525,4,0.302259,0.697565,0.302435,2732,773,775,3,633,186,189,2,115,36,33,1,392,121,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,15,21,2,0,14,143436.6416,1,18,0,0,0,1,-1.4,56.53,0.19,85.31,445.7,0
2ati_IHU_A_decoys_3,-28.8348,7.63222,8.47382,-2.49707,-0.77188,0,-21.1389,759.695,1,0.58776,4,0.319461,0.81893,0.18107,3014,907,884,6,468,138,136,0,491,143,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,19,25,6,0,7,-37285.15734,0,29,0,0,0,0,-0.2,43.13,0.15,87.3,475.67,0
2aux_CT1_A_decoys_1,-17.8194,1.74474,9.2008,-3.14159,0,-1.00581,-11.7489,558.806,1,0.701112,4,0.462175,0.407652,0.592348,1723,544,571,50,0,0,0,0,182,56,56,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,37,37,3,0,0,0,0,6,0,23,0,6,16,22156.6124,1,2,0,0,0,0,-6.5,22.55,0.47,37.3,447.11,0
2aux_CT1_A_decoys_2,-23.016,1.62268,11.1515,-4.44341,-1.99412,0,-17.1603,613.587,2,0.680634,2,0.511392,0.437544,0.562456,1924,608,658,55,144,45,46,4,156,43,52,4,0,0,0,0,0,0,0,0,132,41,46,2,92,26,33,2,0,0,0,0,0,0,0,0,13,2,24,0,14,22,-15620.75856,2,10,0,0,0,0,-6.1,36.62,0.32,29.1,515.15,0
2aux_CT1_A_decoys_3,-23.762,2.99367,3.17503,0.254013,0,0,-19.9239,544.791,0,0.736766,3,0.545439,0.568121,0.431879,2181,700,760,66,333,101,113,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,16,0,10,25,1050.971603,0,17,0,0,0,0,-5.4,22.6,0.38,30.33,565.02,0
2ax9_BHM_A_decoys_1,-35.4592,8.46573,6.9455,-4.38449,0,-1.55369,-29.0557,804.583,2,0.600733,5,0.29047,0.865356,0.134644,3951,882,894,119,424,88,103,11,889,203,197,29,0,0,0,0,0,0,0,0,0,0,0,0,203,49,42,6,0,0,0,0,0,0,0,0,72,0,11,9,0,3,-32965.39885,2,23,0,0,0,0,-0.6,43.79,0.28,72.31,467.41,0
2ax9_BHM_A_decoys_2,-30.5005,16.0221,2.23377,-0.824101,0,0,-20.6931,682.013,0,0.568667,6,0.306479,0.851142,0.148858,3136,744,724,103,442,106,99,15,890,213,196,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,56,56,8,0,0,0,0,42,14,0,9,1,0,45295.01942,0,18,0,0,0,0,1,38.28,0.29,76.66,408.48,0
